,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
3088,24,Manufacture basic metals ,South East,2019.0,62.3,28.9,39.5,10.1,0.13,0.16,0.12,0.12
3089,24,Manufacture basic metals ,South West,2012.0,65.1,70.8,18.8,3.7,0.16,0.34,0.09,0.05
3090,24,Manufacture basic metals ,South West,2013.0,55.7,8.4,52,4.9,0.15,0.06,0.22,0.06
3091,24,Manufacture basic metals ,South West,2014.0,35.1,19.6,30.2,6.6,0.1,0.15,0.14,0.09
3092,24,Manufacture basic metals ,South West,2015.0,43.1,15.1,38.4,5.1,0.13,0.13,0.18,0.06
3093,24,Manufacture basic metals ,South West,2016.0,18.7,6.5,15.3,1.5,0.06,0.07,0.07,0.02
3094,24,Manufacture basic metals ,South West,2017.0,16.5,4.6,14.7,3.3,0.05,0.04,0.06,0.04
3095,24,Manufacture basic metals ,South West,2018.0,30.3,8,28.6,4.1,0.08,0.07,0.11,0.05
3096,24,Manufacture basic metals ,South West,2019.0,39.9,12.5,36.3,6.4,0.12,0.1,0.16,0.08
3097,24,Manufacture basic metals ,England,2012.0,301.3,83.3,295.4,11.4,0.02,0.03,0.03,0.01
3098,24,Manufacture basic metals ,England,2013.0,207.2,56.2,169.8,17.9,0.02,0.02,0.02,0.01
3099,24,Manufacture basic metals ,England,2014.0,359.3,207,261.7,49.8,0.03,0.05,0.03,0.02
3100,24,Manufacture basic metals ,England,2015.0,418.3,95.7,346.8,36.9,0.04,0.03,0.04,0.02
3101,24,Manufacture basic metals ,England,2016.0,161,69.4,133,16.8,0.01,0.02,0.02,0.01
3102,24,Manufacture basic metals ,England,2017.0,265.8,72.9,212.8,16.4,0.02,0.02,0.02,0.01
3103,24,Manufacture basic metals ,England,2018.0,530,146.1,390.9,11.9,0.04,0.04,0.04,0.01
3104,24,Manufacture basic metals ,England,2019.0,168.3,50.2,152.8,17.1,0.01,0.02,0.02,0.01
3105,24,Manufacture basic metals ,Wales,2012.0,336.1,28.5,327.1,5.8,0.09,0.08,0.1,0.01
3106,24,Manufacture basic metals ,Wales,2013.0,1551.8,78.1,1462.6,26.1,0.38,0.23,0.4,0.07
3107,24,Manufacture basic metals ,Wales,2014.0,324,38.9,296.1,6.9,0.1,0.08,0.11,0.02
3108,24,Manufacture basic metals ,Wales,2015.0,152.3,9.6,145,5.5,0.05,0.01,0.06,0.01
3109,24,Manufacture basic metals ,Wales,2016.0,721.3,57.5,664.2,14.3,0.28,0.21,0.31,0.02
3110,24,Manufacture basic metals ,Wales,2017.0,46.5,10.8,52.8,2.4,0.02,0.02,0.02,0.01
3111,24,Manufacture basic metals ,Wales,2018.0,60.3,17.8,63,4.1,0.02,0.04,0.02,0.01
3112,24,Manufacture basic metals ,Wales,2019.0,15.7,7.4,11.7,1.9,0.01,0.02,0.02,0.01
3113,24,Manufacture basic metals ,Scotland,2012.0,14.5,7.8,11.3,3.1,0.03,0.09,0.03,0.04
3114,24,Manufacture basic metals ,Scotland,2013.0,53.4,20.6,53,7.8,0.08,0.15,0.09,0.08
3115,24,Manufacture basic metals ,Scotland,2014.0,19.6,12.1,17.2,3.9,0.03,0.05,0.04,0.04
3116,24,Manufacture basic metals ,Scotland,2015.0,136.6,57.7,89.4,2.4,0.22,0.24,0.23,0.02
3117,24,Manufacture basic metals ,Scotland,2016.0,35.8,15.4,19,5.6,0.07,0.1,0.06,0.06
3118,24,Manufacture basic metals ,Scotland,2017.0,42.4,11.7,34.4,3,0.09,0.11,0.1,0.04
3119,24,Manufacture basic metals ,Scotland,2018.0,68.3,27,88.8,3.5,0.16,0.5,0.24,0.05
3120,24,Manufacture basic metals ,Scotland,2019.0,5.1,3.8,5.7,1.5,0.02,0.09,0.03,0.03
3121,24,Manufacture basic metals ,Northern Ireland,2012.0,10.4,6.9,17.2,0.4,0.1,0.18,0.26,0.02
3122,24,Manufacture basic metals ,Northern Ireland,2013.0,7,2.7,6.4,0.6,0.07,0.05,0.12,0.03
3123,24,Manufacture basic metals ,Northern Ireland,2014.0,7.2,3.9,5.4,0.9,0.06,0.1,0.07,0.04
3124,24,Manufacture basic metals ,Northern Ireland,2015.0,15.8,7.6,10.6,1,0.11,0.17,0.11,0.04
3125,24,Manufacture basic metals ,Northern Ireland,2016.0,7.5,2.7,6.7,0.7,0.04,0.04,0.06,0.02
3126,24,Manufacture basic metals ,Northern Ireland,2017.0,14.2,3.8,13.9,1.3,0.09,0.12,0.11,0.04
3127,24,Manufacture basic metals ,Northern Ireland,2018.0,28.6,8.4,25.6,6.9,0.12,0.19,0.12,0.17
3128,24,Manufacture basic metals ,Northern Ireland,2019.0,46.7,10.4,38.4,5.5,0.14,0.11,0.16,0.15
3129,24,Manufacture basic metals ,United Kingdom,2012.0,458.1,88,445.3,13.3,0.03,0.02,0.03,0.01
3130,24,Manufacture basic metals ,United Kingdom,2013.0,1540.6,96.4,1451.4,33.3,0.08,0.03,0.1,0.01
3131,24,Manufacture basic metals ,United Kingdom,2014.0,464.5,203.3,401.3,50.7,0.03,0.04,0.03,0.02
3132,24,Manufacture basic metals ,United Kingdom,2015.0,467.8,108.5,391.7,37.9,0.03,0.03,0.03,0.01
3133,24,Manufacture basic metals ,United Kingdom,2016.0,735.6,91.7,673.2,23.2,0.05,0.02,0.06,0.01
3134,24,Manufacture basic metals ,United Kingdom,2017.0,276.4,75.4,225.1,17.5,0.02,0.02,0.02,0.01
3135,24,Manufacture basic metals ,United Kingdom,2018.0,534.5,149.4,403.8,13.8,0.03,0.04,0.03,0.01
3136,24,Manufacture basic metals ,United Kingdom,2019.0,180.1,52.8,161.7,18.4,0.01,0.02,0.01,0.01
3137,25,"Manufacture of fabricated metal products, ",North East,2012.0,90.9,67.2,56.9,30.9,0.05,0.08,0.06,0.06
3138,25,except machinery and equipment ,North East,2013.0,189.5,73.7,129,25.9,0.12,0.12,0.14,0.06
3139,25,except machinery and equipment ,North East,2014.0,161.7,100.2,114.2,37.3,0.1,0.13,0.15,0.09
3140,25,except machinery and equipment ,North East,2015.0,149.9,57,110.8,35.4,0.09,0.08,0.12,0.08
3141,25,except machinery and equipment ,North East,2016.0,82.5,60.9,41.5,26.6,0.05,0.07,0.04,0.05
3142,25,except machinery and equipment ,North East,2017.0,129.8,81.3,73.6,33.7,0.07,0.1,0.07,0.07
3143,25,except machinery and equipment ,North East,2018.0,122.2,64,102.8,33.5,0.06,0.08,0.08,0.07
3144,25,except machinery and equipment ,North East,2019.0,145.4,59.5,113.8,41.1,0.06,0.06,0.08,0.07
3145,25,except machinery and equipment ,North West,2012.0,300,102.3,289.1,36.2,0.08,0.06,0.12,0.04
3146,25,except machinery and equipment ,North West,2013.0,190.7,127.2,126.5,40.5,0.05,0.08,0.06,0.05
3147,25,except machinery and equipment ,North West,2014.0,214.1,87.8,157.4,53.7,0.06,0.05,0.08,0.06
3148,25,except machinery and equipment ,North West,2015.0,255.7,100.1,191.6,55.8,0.07,0.06,0.09,0.06
3149,25,except machinery and equipment ,North West,2016.0,180.3,79.8,129.3,46.8,0.05,0.05,0.07,0.05
3150,25,except machinery and equipment ,North West,2017.0,162.3,100,101.9,54.4,0.04,0.05,0.05,0.05
3151,25,except machinery and equipment ,North West,2018.0,210.2,93.7,132.1,100.5,0.06,0.06,0.06,0.09
3152,25,except machinery and equipment ,North West,2019.0,1442.2,171.7,1285.4,59,0.29,0.1,0.4,0.06
3153,25,except machinery and equipment ,Yorkshire and The Humber,2012.0,212.3,100.3,177.8,40.5,0.06,0.06,0.08,0.04
3154,25,except machinery and equipment ,Yorkshire and The Humber,2013.0,263.9,88.8,237.3,44.8,0.07,0.05,0.11,0.05
3155,25,except machinery and equipment ,Yorkshire and The Humber,2014.0,234.3,124.2,141.9,45.2,0.06,0.07,0.07,0.05
3156,25,except machinery and equipment ,Yorkshire and The Humber,2015.0,258.2,100.6,222.6,34.6,0.06,0.07,0.08,0.04
3157,25,except machinery and equipment ,Yorkshire and The Humber,2016.0,109.5,71.2,95.1,63.3,0.03,0.04,0.04,0.06
3158,25,except machinery and equipment ,Yorkshire and The Humber,2017.0,192.3,117.3,116.7,28.5,0.04,0.06,0.04,0.03
3159,25,except machinery and equipment ,Yorkshire and The Humber,2018.0,263.1,83.7,217.3,39.5,0.05,0.04,0.07,0.04
3160,25,except machinery and equipment ,Yorkshire and The Humber,2019.0,235.8,138.7,149.3,55.2,0.05,0.07,0.06,0.05
3161,25,except machinery and equipment ,East Midlands,2012.0,161.1,134.2,105.8,46.7,0.06,0.1,0.08,0.07
3162,25,except machinery and equipment ,East Midlands,2013.0,390.9,102.9,314.7,36.8,0.12,0.07,0.17,0.05
3163,25,except machinery and equipment ,East Midlands,2014.0,251.7,78.7,218.7,36.3,0.07,0.06,0.1,0.05
3164,25,except machinery and equipment ,East Midlands,2015.0,307.7,121.8,229.8,52.1,0.11,0.09,0.15,0.08
3165,25,except machinery and equipment ,East Midlands,2016.0,126.2,79.4,71,25.8,0.04,0.06,0.04,0.04
3166,25,except machinery and equipment ,East Midlands,2017.0,93.8,42.7,80.5,22.9,0.03,0.03,0.05,0.03
3167,25,except machinery and equipment ,East Midlands,2018.0,140.7,70.6,103.2,34.3,0.04,0.05,0.05,0.04
3168,25,except machinery and equipment ,East Midlands,2019.0,223,82.1,185.1,42.8,0.06,0.05,0.09,0.05
3169,25,except machinery and equipment ,West Midlands,2012.0,418.8,116.7,359.3,41.2,0.07,0.05,0.1,0.03
3170,25,except machinery and equipment ,West Midlands,2013.0,266.7,132.3,180.6,51.6,0.05,0.05,0.06,0.04
3171,25,except machinery and equipment ,West Midlands,2014.0,329.5,125.1,268.4,41.2,0.05,0.04,0.08,0.03
3172,25,except machinery and equipment ,West Midlands,2015.0,232.3,105.4,202.1,38.4,0.04,0.04,0.06,0.03
3173,25,except machinery and equipment ,West Midlands,2016.0,211.8,99.2,166.8,66.8,0.03,0.03,0.05,0.04
3174,25,except machinery and equipment ,West Midlands,2017.0,157.9,73.6,139.3,36.6,0.02,0.03,0.04,0.02
3175,25,except machinery and equipment ,West Midlands,2018.0,221,76.8,197.4,33.2,0.03,0.03,0.05,0.02
3176,25,except machinery and equipment ,West Midlands,2019.0,243.1,125.7,179.2,76.4,0.04,0.05,0.05,0.05
3177,25,except machinery and equipment ,East of England,2012.0,295.2,123.1,191.2,72,0.1,0.09,0.12,0.09
3178,25,except machinery and equipment ,East of England,2013.0,298.9,102.7,222.4,63.6,0.09,0.08,0.12,0.08
3179,25,except machinery and equipment ,East of England,2014.0,238.7,129,142.8,78.1,0.08,0.09,0.08,0.08
3180,25,except machinery and equipment ,East of England,2015.0,277,106.4,204.2,61,0.08,0.08,0.11,0.07
3181,25,except machinery and equipment ,East of England,2016.0,291.9,136.8,217.6,51.2,0.08,0.08,0.11,0.06
3182,25,except machinery and equipment ,East of England,2017.0,245,110.2,155.7,58.7,0.07,0.06,0.08,0.06
3183,25,except machinery and equipment ,East of England,2018.0,205.5,123.4,119.7,50.4,0.06,0.07,0.06,0.06
3184,25,except machinery and equipment ,East of England,2019.0,320.8,160.7,191,77.8,0.1,0.11,0.1,0.1
3185,25,except machinery and equipment ,London,2012.0,94.2,79.2,62.2,25.2,0.1,0.16,0.15,0.11
3186,25,except machinery and equipment ,London,2013.0,106.1,64.6,77.4,28.3,0.13,0.16,0.19,0.15
3187,25,except machinery and equipment ,London,2014.0,183.7,89.5,105,51.7,0.19,0.19,0.2,0.19
3188,25,except machinery and equipment ,London,2015.0,190.5,99.9,97.9,56,0.18,0.19,0.19,0.2
3189,25,except machinery and equipment ,London,2016.0,173.8,75.8,125.6,40.7,0.19,0.22,0.22,0.19
3190,25,except machinery and equipment ,London,2017.0,157,93.1,75.9,42.2,0.17,0.21,0.16,0.17
3191,25,except machinery and equipment ,London,2018.0,197.5,72.6,151.1,37.7,0.15,0.14,0.18,0.12
3192,25,except machinery and equipment ,London,2019.0,206.3,96.6,123.1,34.8,0.16,0.18,0.16,0.12
3193,25,except machinery and equipment ,South East,2012.0,281.6,146.7,178.4,50.3,0.07,0.09,0.08,0.06
3194,25,except machinery and equipment ,South East,2013.0,253,108.3,187.4,61.8,0.07,0.08,0.09,0.07
3195,25,except machinery and equipment ,South East,2014.0,265.7,107.8,189.4,62.7,0.08,0.08,0.1,0.08
3196,25,except machinery and equipment ,South East,2015.0,313.1,120.8,225.1,71.4,0.09,0.08,0.11,0.08
3197,25,except machinery and equipment ,South East,2016.0,215.9,118,134.8,53.8,0.05,0.07,0.06,0.05
3198,25,except machinery and equipment ,South East,2017.0,301.8,133,215.6,59.7,0.07,0.07,0.09,0.05
3199,25,except machinery and equipment ,South East,2018.0,224.5,122.1,130.6,62.9,0.05,0.06,0.06,0.06
3200,25,except machinery and equipment ,South East,2019.0,221.3,180.1,125.8,71.8,0.05,0.08,0.06,0.06
3201,25,except machinery and equipment ,South West,2012.0,190.5,69.6,155.3,39.2,0.09,0.07,0.12,0.06
3202,25,except machinery and equipment ,South West,2013.0,225.3,94.6,193.2,40.7,0.09,0.09,0.14,0.06
3203,25,except machinery and equipment ,South West,2014.0,158.3,92,120.7,28.5,0.07,0.08,0.1,0.04
3204,25,except machinery and equipment ,South West,2015.0,101.9,63.9,92.2,27.5,0.04,0.05,0.08,0.04
3205,25,except machinery and equipment ,South West,2016.0,138.3,104.7,79.1,20.8,0.05,0.08,0.06,0.03
3206,25,except machinery and equipment ,South West,2017.0,226.7,78.9,189.2,28.9,0.07,0.06,0.11,0.04
3207,25,except machinery and equipment ,South West,2018.0,205.8,90.3,153.2,33,0.07,0.06,0.09,0.04
3208,25,except machinery and equipment ,South West,2019.0,279.4,86.3,213.7,43.4,0.1,0.07,0.13,0.06
3209,25,except machinery and equipment ,England,2012.0,626.5,292.8,524,110.9,0.02,0.02,0.03,0.02
3210,25,except machinery and equipment ,England,2013.0,689.7,286.5,535.5,101.5,0.02,0.02,0.03,0.01
3211,25,except machinery and equipment ,England,2014.0,548.6,279.4,440.1,101,0.02,0.02,0.03,0.01
3212,25,except machinery and equipment ,England,2015.0,624.7,263,506.7,109,0.02,0.02,0.03,0.02
3213,25,except machinery and equipment ,England,2016.0,521.3,274.5,393.1,121.6,0.02,0.02,0.02,0.02
3214,25,except machinery and equipment ,England,2017.0,498.8,230,394,102.4,0.02,0.02,0.02,0.01
3215,25,except machinery and equipment ,England,2018.0,531.1,229.1,425.6,124.8,0.02,0.02,0.02,0.02
3216,25,except machinery and equipment ,England,2019.0,1589.4,346.7,1363.7,141,0.05,0.02,0.07,0.02
3217,25,except machinery and equipment ,Wales,2012.0,264.1,57,242,32.9,0.14,0.08,0.2,0.08
3218,25,except machinery and equipment ,Wales,2013.0,351.3,68.7,312.4,27.9,0.19,0.11,0.26,0.07
3219,25,except machinery and equipment ,Wales,2014.0,135,57.9,97.9,49.8,0.08,0.09,0.1,0.13
3220,25,except machinery and equipment ,Wales,2015.0,135,80.4,105.5,31.3,0.08,0.12,0.11,0.07
3221,25,except machinery and equipment ,Wales,2016.0,94.4,30.1,72.5,13,0.07,0.05,0.09,0.03
3222,25,except machinery and equipment ,Wales,2017.0,72,95,129.4,13.2,0.05,0.21,0.13,0.04
3223,25,except machinery and equipment ,Wales,2018.0,140.1,58,125.4,28.7,0.08,0.08,0.12,0.07
3224,25,except machinery and equipment ,Wales,2019.0,106.4,56.8,71.5,25,0.06,0.07,0.07,0.05
3225,25,except machinery and equipment ,Scotland,2012.0,103.4,66.9,84.9,30.2,0.04,0.05,0.06,0.04
3226,25,except machinery and equipment ,Scotland,2013.0,117.4,68.2,80.1,32.5,0.04,0.05,0.05,0.04
3227,25,except machinery and equipment ,Scotland,2014.0,97.8,69.3,62.6,25.6,0.03,0.05,0.04,0.03
3228,25,except machinery and equipment ,Scotland,2015.0,150.2,78.8,94.1,22.7,0.06,0.07,0.08,0.03
3229,25,except machinery and equipment ,Scotland,2016.0,72.4,43.6,48.5,21.3,0.03,0.03,0.04,0.03
3230,25,except machinery and equipment ,Scotland,2017.0,88.4,44.6,73.2,21.3,0.03,0.04,0.05,0.03
3231,25,except machinery and equipment ,Scotland,2018.0,102.9,51.8,62.1,18.2,0.05,0.05,0.05,0.03
3232,25,except machinery and equipment ,Scotland,2019.0,82.8,50.1,49.6,20.5,0.04,0.05,0.04,0.03
3233,25,except machinery and equipment ,Northern Ireland,2012.0,24.6,10.6,19.9,10.3,0.03,0.04,0.04,0.06
3234,25,except machinery and equipment ,Northern Ireland,2013.0,29.4,14.4,23.1,4.6,0.03,0.04,0.04,0.02
3235,25,except machinery and equipment ,Northern Ireland,2014.0,28.2,11.8,22.3,4.4,0.03,0.04,0.04,0.02
3236,25,except machinery and equipment ,Northern Ireland,2015.0,40.2,13.9,33.7,4.8,0.04,0.03,0.05,0.02
3237,25,except machinery and equipment ,Northern Ireland,2016.0,40.5,11.3,33.2,4.2,0.03,0.02,0.05,0.02
3238,25,except machinery and equipment ,Northern Ireland,2017.0,46.2,25.5,35.2,5.3,0.04,0.06,0.04,0.02
3239,25,except machinery and equipment ,Northern Ireland,2018.0,52.5,23.6,36.8,7.6,0.03,0.04,0.04,0.02
3240,25,except machinery and equipment ,Northern Ireland,2019.0,51.3,20.7,46,6.7,0.03,0.04,0.05,0.02
3241,25,except machinery and equipment ,United Kingdom,2012.0,686.1,306.4,572.3,117.9,0.02,0.02,0.03,0.01
3242,25,except machinery and equipment ,United Kingdom,2013.0,810.2,304,642.7,106.2,0.02,0.02,0.03,0.01
3243,25,except machinery and equipment ,United Kingdom,2014.0,564.8,293.9,451.5,112.7,0.02,0.02,0.02,0.01
3244,25,except machinery and equipment ,United Kingdom,2015.0,649.9,283.5,524.1,116.7,0.02,0.02,0.03,0.01
3245,25,except machinery and equipment ,United Kingdom,2016.0,538.8,284.7,405,125.5,0.02,0.02,0.02,0.01
3246,25,except machinery and equipment ,United Kingdom,2017.0,517.4,255.8,426.3,107,0.01,0.02,0.02,0.01
3247,25,except machinery and equipment ,United Kingdom,2018.0,569.2,250.7,462.6,130.1,0.01,0.01,0.02,0.01
3248,25,except machinery and equipment ,United Kingdom,2019.0,1591.3,360.4,1362.6,141.9,0.04,0.02,0.06,0.01
3249,26,"Manufacture of computer, electronic and ",North East,2012.0,199.4,49.4,164.5,37.1,0.52,0.45,0.6,0.51
3250,26,optical products ,North East,2013.0,161.5,63.5,114.4,28.5,0.36,0.37,0.42,0.34
3251,26,optical products ,North East,2014.0,210.4,73.3,136.4,30.2,0.58,0.56,0.59,0.45
3252,26,optical products ,North East,2015.0,110.5,37.8,69,21.5,0.37,0.34,0.39,0.37
3253,26,optical products ,North East,2016.0,22.8,11.9,13.8,8.8,0.1,0.12,0.1,0.12
3254,26,optical products ,North East,2017.0,48.8,35.3,25.8,12.2,0.12,0.2,0.11,0.12
3255,26,optical products ,North East,2018.0,66.5,39.8,34,16.4,0.17,0.21,0.15,0.16
3256,26,optical products ,North East,2019.0,159.8,154.1,34.1,22.4,0.36,0.57,0.19,0.23
3257,26,optical products ,North West,2012.0,218.1,114.1,124.4,55.5,0.22,0.24,0.25,0.22
3258,26,optical products ,North West,2013.0,269,94.7,200.4,61,0.21,0.18,0.27,0.2
3259,26,optical products ,North West,2014.0,165.4,80.4,107.5,40.5,0.16,0.16,0.19,0.13
3260,26,optical products ,North West,2015.0,116.5,44.3,92.4,26,0.11,0.09,0.15,0.08
3261,26,optical products ,North West,2016.0,106.1,38.5,72.6,19.9,0.08,0.06,0.1,0.06
3262,26,optical products ,North West,2017.0,109.1,53.5,63.2,23.4,0.08,0.09,0.09,0.07
3263,26,optical products ,North West,2018.0,105.4,50.1,67.2,28.2,0.08,0.08,0.1,0.07
3264,26,optical products ,North West,2019.0,81.6,38.1,51,39.2,0.08,0.08,0.09,0.12
3265,26,optical products ,Yorkshire and The Humber,2012.0,161.3,80.9,84.7,49.8,0.28,0.3,0.28,0.3
3266,26,optical products ,Yorkshire and The Humber,2013.0,135.9,78.7,67.3,46,0.29,0.36,0.27,0.32
3267,26,optical products ,Yorkshire and The Humber,2014.0,135.9,53.2,91.3,35.4,0.28,0.32,0.28,0.3
3268,26,optical products ,Yorkshire and The Humber,2015.0,103.3,56.9,63.5,24.9,0.24,0.29,0.27,0.27
3269,26,optical products ,Yorkshire and The Humber,2016.0,162.3,46.7,130.8,15.8,0.25,0.19,0.32,0.13
3270,26,optical products ,Yorkshire and The Humber,2017.0,70.7,36.5,42.2,15.1,0.12,0.14,0.12,0.1
3271,26,optical products ,Yorkshire and The Humber,2018.0,76,46.7,42.8,23.1,0.13,0.17,0.12,0.13
3272,26,optical products ,Yorkshire and The Humber,2019.0,101.6,48.1,64.3,26.3,0.16,0.17,0.18,0.17
3273,26,optical products ,East Midlands,2012.0,151,114.1,62.9,34.6,0.19,0.24,0.18,0.18
3274,26,optical products ,East Midlands,2013.0,219.4,86.4,150.6,53.6,0.19,0.17,0.22,0.2
3275,26,optical products ,East Midlands,2014.0,249.6,117.9,147.2,65.8,0.18,0.2,0.18,0.18
3276,26,optical products ,East Midlands,2015.0,317.7,109.9,230.2,61.6,0.24,0.21,0.28,0.21
3277,26,optical products ,East Midlands,2016.0,94.8,43.4,61.2,28.9,0.08,0.09,0.09,0.1
3278,26,optical products ,East Midlands,2017.0,99.3,53.2,54.7,27.3,0.08,0.1,0.09,0.1
3279,26,optical products ,East Midlands,2018.0,133,80.8,72.4,33.2,0.12,0.15,0.12,0.12
3280,26,optical products ,East Midlands,2019.0,168.7,96.7,99.2,45.3,0.14,0.16,0.16,0.13
3281,26,optical products ,West Midlands,2012.0,170.9,59.9,122.6,28.8,0.2,0.19,0.23,0.17
3282,26,optical products ,West Midlands,2013.0,233.1,104.3,139.3,79.4,0.22,0.28,0.2,0.27
3283,26,optical products ,West Midlands,2014.0,153.3,74.1,84.8,58.3,0.13,0.18,0.11,0.19
3284,26,optical products ,West Midlands,2015.0,125.7,59.2,69.5,36.5,0.11,0.2,0.09,0.16
3285,26,optical products ,West Midlands,2016.0,75.7,34.9,46.3,18.7,0.05,0.08,0.04,0.07
3286,26,optical products ,West Midlands,2017.0,87.7,46.7,54.8,24,0.05,0.08,0.04,0.08
3287,26,optical products ,West Midlands,2018.0,164,75.6,104.6,35.4,0.09,0.13,0.08,0.13
3288,26,optical products ,West Midlands,2019.0,133.5,66.2,79.8,33,0.07,0.14,0.06,0.12
3289,26,optical products ,East of England,2012.0,332.6,131.7,217.2,75,0.13,0.14,0.14,0.12
3290,26,optical products ,East of England,2013.0,299.2,125.8,182.8,82.3,0.12,0.12,0.12,0.13
3291,26,optical products ,East of England,2014.0,464,167.3,332.7,95.1,0.15,0.14,0.17,0.13
3292,26,optical products ,East of England,2015.0,356,232.4,182.4,92.6,0.17,0.22,0.16,0.16
3293,26,optical products ,East of England,2016.0,184.6,129.2,118.3,47.9,0.07,0.12,0.07,0.07
3294,26,optical products ,East of England,2017.0,140.9,77.1,76.2,36.5,0.05,0.06,0.05,0.06
3295,26,optical products ,East of England,2018.0,283.7,96.8,212.2,49,0.09,0.08,0.1,0.08
3296,26,optical products ,East of England,2019.0,370.4,166.6,248,71,0.11,0.11,0.13,0.1
3297,26,optical products ,London,2012.0,121,61.5,94.3,30.3,0.13,0.18,0.17,0.19
3298,26,optical products ,London,2013.0,206,81.3,128.8,50,0.21,0.39,0.17,0.21
3299,26,optical products ,London,2014.0,360.3,117.5,266.9,95.1,0.53,0.6,0.55,0.59
3300,26,optical products ,London,2015.0,318.9,160.8,168.6,80.9,0.39,0.39,0.42,0.41
3301,26,optical products ,London,2016.0,128.2,81.1,52.7,37.5,0.21,0.23,0.19,0.23
3302,26,optical products ,London,2017.0,68.5,39.6,42.1,19,0.13,0.16,0.15,0.15
3303,26,optical products ,London,2018.0,116.3,78.3,47,50.8,0.19,0.23,0.17,0.23
3304,26,optical products ,London,2019.0,157.2,94.7,69.3,24.5,0.27,0.3,0.26,0.18
3305,26,optical products ,South East,2012.0,372.3,190.8,215.4,75.6,0.07,0.07,0.07,0.07
3306,26,optical products ,South East,2013.0,520,221.3,345.8,107.2,0.09,0.1,0.11,0.09
3307,26,optical products ,South East,2014.0,607.2,262.7,380.5,140,0.12,0.12,0.12,0.13
3308,26,optical products ,South East,2015.0,543.2,251.5,372,126.7,0.09,0.1,0.1,0.1
3309,26,optical products ,South East,2016.0,169.4,81.8,114.5,40.1,0.03,0.04,0.03,0.03
3310,26,optical products ,South East,2017.0,212.6,113.2,124.4,228.7,0.04,0.05,0.04,0.15
3311,26,optical products ,South East,2018.0,552.5,191.5,375.8,67.8,0.09,0.08,0.1,0.05
3312,26,optical products ,South East,2019.0,684.2,185,548.8,71.8,0.1,0.07,0.13,0.05
3313,26,optical products ,South West,2012.0,304.3,170,144.4,59.5,0.13,0.16,0.12,0.1
3314,26,optical products ,South West,2013.0,323.4,285.4,68.9,62.8,0.17,0.28,0.08,0.12
3315,26,optical products ,South West,2014.0,231.8,95.3,151.9,56.7,0.12,0.11,0.14,0.1
3316,26,optical products ,South West,2015.0,193.3,77.1,133,53.8,0.1,0.09,0.13,0.09
3317,26,optical products ,South West,2016.0,93.7,51.6,54,22.2,0.06,0.07,0.06,0.04
3318,26,optical products ,South West,2017.0,112,58.2,65,21.9,0.05,0.05,0.06,0.04
3319,26,optical products ,South West,2018.0,164.2,89.8,84.8,30.7,0.08,0.09,0.08,0.05
3320,26,optical products ,South West,2019.0,141.4,78,81.7,42.4,0.07,0.08,0.08,0.07
3321,26,optical products ,England,2012.0,440.3,207.7,325.8,67.1,0.03,0.03,0.04,0.02
3322,26,optical products ,England,2013.0,487.8,310.6,349.2,74,0.03,0.05,0.04,0.02
3323,26,optical products ,England,2014.0,553.7,215.2,435,94.7,0.04,0.04,0.05,0.03
3324,26,optical products ,England,2015.0,449.8,250.5,355.9,96.8,0.03,0.04,0.04,0.03
3325,26,optical products ,England,2016.0,320.9,178,223.4,59.1,0.02,0.03,0.02,0.02
3326,26,optical products ,England,2017.0,210.8,117.6,142.5,233.7,0.01,0.02,0.01,0.06
3327,26,optical products ,England,2018.0,574.9,210,412,78.8,0.03,0.03,0.04,0.02
3328,26,optical products ,England,2019.0,677.1,244.3,566.4,77,0.04,0.03,0.05,0.02
3329,26,optical products ,Wales,2012.0,166.4,112.3,76.7,33.6,0.16,0.21,0.15,0.16
3330,26,optical products ,Wales,2013.0,46.3,39.9,11.6,9.1,0.06,0.13,0.02,0.07
3331,26,optical products ,Wales,2014.0,79.4,39.7,43.4,27.6,0.11,0.11,0.12,0.18
3332,26,optical products ,Wales,2015.0,125.1,69.3,70.1,41.6,0.12,0.11,0.15,0.16
3333,26,optical products ,Wales,2016.0,71.6,41.4,40.2,18.5,0.06,0.06,0.08,0.08
3334,26,optical products ,Wales,2017.0,79.3,33.2,47.4,18.2,0.06,0.04,0.08,0.08
3335,26,optical products ,Wales,2018.0,57.1,26.2,38.4,15.5,0.05,0.04,0.06,0.07
3336,26,optical products ,Wales,2019.0,67.4,28.8,42.4,13.1,0.05,0.05,0.06,0.06
3337,26,optical products ,Scotland,2012.0,37.2,21.6,22.9,8,0.02,0.03,0.02,0.02
3338,26,optical products ,Scotland,2013.0,33.5,23.6,24.8,8.6,0.02,0.04,0.02,0.02
3339,26,optical products ,Scotland,2014.0,107.8,77.8,71,14.9,0.06,0.11,0.06,0.03
